Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,55500.0,56100.0,55200.0,55500.0,53213.73828125,10031448
2023-01-03,55400.0,56000.0,54500.0,55400.0,53117.85546875,13547030
2023-01-04,55700.0,58000.0,55600.0,57800.0,55418.98828125,20188071
2023-01-05,58200.0,58800.0,57600.0,58200.0,55802.5078125,15682826
2023-01-06,58300.0,59400.0,57900.0,59000.0,56569.55859375,17334989
2023-01-09,59700.0,60700.0,59600.0,60700.0,58199.53125,18640107
2023-01-10,60200.0,61100.0,59900.0,60400.0,57911.890625,14859797
2023-01-11,61000.0,61200.0,60300.0,60500.0,58007.765625,12310751
2023-01-12,61100.0,61200.0,59900.0,60500.0,58007.765625,16102561
2023-01-13,60500.0,61200.0,60400.0,60800.0,58295.41015625,12510328
2023-01-16,61300.0,61600.0,60800.0,61100.0,58583.046875,10039972
2023-01-17,61200.0,61500.0,60600.0,61000.0,58487.171875,9831456
2023-01-18,60700.0,61000.0,59900.0,60400.0,57911.890625,11584041
2023-01-19,60500.0,61500.0,60400.0,61500.0,58966.57421875,12808490
2023-01-20,62100.0,62300.0,61100.0,61800.0,59254.2109375,9646327
2023-01-25,63500.0,63700.0,63000.0,63300.0,60692.42578125,39217
2023-01-26,63800.0,63900.0,63300.0,63800.0,61171.83203125,54188
2023-01-27,64400.0,65000.0,63900.0,64600.0,61938.87109375,44282
2023-01-30,64900.0,64900.0,63100.0,63300.0,60692.42578125,59628
2023-01-31,63500.0,63700.0,61000.0,61400.0,58870.69140625,163847
2023-02-01,62600.0,62700.0,61000.0,61000.0,58487.171875,98585
2023-02-02,63200.0,63900.0,62600.0,63500.0,60884.1875,65992
2023-02-03,63900.0,64000.0,63000.0,63500.0,60884.1875,47567
2023-02-06,62800.0,63000.0,61600.0,61600.0,59062.453125,144104
2023-02-07,61900.0,62500.0,61600.0,62000.0,59445.9765625,32873
2023-02-08,62800.0,63300.0,62400.0,63100.0,60500.66015625,42558
2023-02-09,63000.0,63300.0,62300.0,63300.0,60692.42578125,48035
2023-02-10,62600.0,63000.0,62400.0,62900.0,60308.8984375,44786
2023-02-13,62900.0,63000.0,62300.0,62900.0,60308.8984375,59395
2023-02-14,63600.0,63900.0,63200.0,63200.0,60596.54296875,70606
2023-02-15,63900.0,63900.0,62000.0,62200.0,59637.734375,58370
2023-02-16,62500.0,63700.0,62400.0,63700.0,61075.9453125,41448
2023-02-17,62900.0,63300.0,62400.0,62600.0,60021.2578125,28613
2023-02-20,62900.0,63000.0,61800.0,62700.0,60117.13671875,29846
2023-02-21,62700.0,62800.0,62000.0,62100.0,59541.85546875,60971
2023-02-22,61500.0,61800.0,61000.0,61100.0,58583.046875,39178
2023-02-23,61700.0,62500.0,61500.0,62000.0,59445.9765625,37145
2023-02-24,62300.0,62600.0,61300.0,61300.0,58774.80859375,50792
2023-02-27,60800.0,60800.0,60200.0,60500.0,58007.765625,11155697
2023-02-28,60800.0,61400.0,60500.0,60600.0,58103.64453125,13715861
2023-03-02,60900.0,61800.0,60500.0,60800.0,58295.41015625,13095682
2023-03-03,61000.0,61200.0,60500.0,60500.0,58007.765625,10711405
2023-03-06,61100.0,61600.0,60800.0,61500.0,58966.57421875,13630602
2023-03-07,61400.0,61400.0,60700.0,60700.0,58199.53125,11473280
2023-03-08,60100.0,60500.0,59900.0,60300.0,57816.00390625,14161857
2023-03-09,60500.0,60800.0,59900.0,60100.0,57624.2421875,14334499
2023-03-10,59500.0,59700.0,59100.0,59500.0,57048.96484375,11902471
2023-03-13,59900.0,60200.0,59300.0,60000.0,57528.36328125,12779724
2023-03-14,59400.0,59500.0,59000.0,59000.0,56569.55859375,12147346
2023-03-15,60000.0,60300.0,59600.0,59800.0,57336.6015625,10482149
2023-03-16,59200.0,60200.0,59100.0,59900.0,57432.484375,10611939
2023-03-17,60800.0,61300.0,60600.0,61300.0,58774.80859375,14090110
2023-03-20,61100.0,61200.0,60200.0,60200.0,57720.125,9618009
2023-03-21,60500.0,60700.0,60100.0,60300.0,57816.00390625,8318514
2023-03-22,61000.0,61200.0,60500.0,61100.0,58583.046875,8978591
